DiseaseID,number
MESH:D005884,894
MESH:D005885,895
MESH:D005886,896
MESH:D005889,897
MESH:D005891,898
MESH:D005901,899
MESH:D005902,900
MESH:D005909,901
MESH:D005910,902
MESH:D005911,903
MESH:D005921,904
MESH:D005922,905
MESH:D005923,906
MESH:D005928,907
MESH:D005929,908
MESH:D005955,909
MESH:D006008,910
MESH:D006012,911
MESH:D006029,912
MESH:D006030,913
MESH:D006042,914
MESH:D006044,915
MESH:D006053,916
MESH:D006058,917
MESH:D006059,918
MESH:D006069,919
MESH:D006073,920
MESH:D006083,921
MESH:D006086,922
MESH:D006099,923
MESH:D006102,924
MESH:D006103,925
MESH:D006104,926
MESH:D006106,927
MESH:D006111,928
MESH:D006130,929
MESH:D006177,930
MESH:D006192,931
MESH:D006201,932
MESH:D006212,933
MESH:D006222,934
MESH:D006228,935
MESH:D006229,936
MESH:D006230,937
MESH:D006255,938
MESH:D006258,939
MESH:D006259,940
MESH:D006261,941
MESH:D006311,942
MESH:D006312,943
MESH:D006314,944
MESH:D006316,945
MESH:D006317,946
MESH:D006319,947
MESH:D006323,948
MESH:D006327,949
MESH:D006330,950
MESH:D006331,951
MESH:D006332,952
MESH:D006333,953
MESH:D006335,954
MESH:D006337,955
MESH:D006341,956
MESH:D006342,957
MESH:D006343,958
MESH:D006344,959
MESH:D006345,960
MESH:D006349,961
MESH:D006356,962
MESH:D006373,963
MESH:D006374,964
MESH:D006390,965
MESH:D006391,966
MESH:D006392,967
MESH:D006394,968
MESH:D006395,969
MESH:D006396,970
MESH:D006402,971
MESH:D006406,972
MESH:D006407,973
MESH:D006408,974
MESH:D006417,975
MESH:D006423,976
MESH:D006429,977
MESH:D006431,978
MESH:D006432,979
MESH:D006456,980
MESH:D006457,981
MESH:D006461,982
MESH:D006463,983
MESH:D006465,984
MESH:D006467,985
MESH:D006469,986
MESH:D006470,987
MESH:D006471,988
MESH:D006473,989
MESH:D006474,990
MESH:D006478,991
MESH:D006479,992
MESH:D006480,993
MESH:D006484,994
MESH:D006486,995
MESH:D006491,996
MESH:D006501,997
MESH:D006502,998
MESH:D006504,999
MESH:D006505,1000
MESH:D006506,1001
MESH:D006509,1002
MESH:D006519,1003
MESH:D006520,1004
MESH:D006521,1005
MESH:D006525,1006
MESH:D006526,1007
MESH:D006527,1008
MESH:D006528,1009
MESH:D006529,1010
MESH:D006530,1011
MESH:D006547,1012
MESH:D006548,1013
MESH:D006551,1014
MESH:D006554,1015
MESH:D006556,1016
MESH:D006558,1017
MESH:D006560,1018
MESH:D006561,1019
MESH:D006562,1020
MESH:D006563,1021
MESH:D006566,1022
MESH:D006606,1023
MESH:D006616,1024
MESH:D006620,1025
MESH:D006628,1026
MESH:D006646,1027
MESH:D006660,1028
MESH:D006679,1029
MESH:D006685,1030
MESH:D006689,1031
MESH:D006712,1032
MESH:D006725,1033
MESH:D006732,1034
MESH:D006734,1035
MESH:D006816,1036
MESH:D006819,1037
MESH:D006831,1038
MESH:D006832,1039
MESH:D006848,1040
MESH:D006849,1041
MESH:D006869,1042
MESH:D006876,1043
MESH:D006925,1044
MESH:D006929,1045
MESH:D006930,1046
MESH:D006932,1047
MESH:D006934,1048
MESH:D006935,1049
MESH:D006937,1050
MESH:D006938,1051
MESH:D006939,1052
MESH:D006940,1053
MESH:D006941,1054
MESH:D006942,1055
MESH:D006943,1056
MESH:D006944,1057
MESH:D006945,1058
MESH:D006946,1059
MESH:D006947,1060
MESH:D006948,1061
MESH:D006949,1062
MESH:D006950,1063
MESH:D006951,1064
MESH:D006952,1065
MESH:D006953,1066
MESH:D006954,1067
MESH:D006955,1068
MESH:D006958,1069
MESH:D006959,1070
MESH:D006960,1071
MESH:D006961,1072
MESH:D006962,1073
MESH:D006963,1074
MESH:D006965,1075
MESH:D006966,1076
MESH:D006967,1077
MESH:D006968,1078
MESH:D006969,1079
MESH:D006970,1080
MESH:D006971,1081
MESH:D006972,1082
MESH:D006973,1083
MESH:D006974,1084
MESH:D006975,1085
